breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Great Dane,"Friendly, Patient, Dependable",16,71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,1.0,3.0,4,3,3,3.2,iconografia/razas/great_dane.jpg,"Amigable, paciente y confiable. El gigante gentil por excelencia. A pesar de su tamaño enorme, es dulce, cariñoso y se lleva bien con todos."
Great Pyrenees,"Smart, Patient, Calm",66,63.5,81.28,38.55535145,45.359237,10.0,12.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,5,2,2,2.2,iconografia/razas/great_pyrenees.jpg,"Inteligente, paciente y tranquilo. Es un guardián sereno que con su familia es muy afectuoso. Necesita espacio y ejercicio moderado."
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable",74,59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,2.0,3.0,4,3,3,3.2,iconografia/razas/greater_swiss_mountain_dog.jpg,"Fiel, centrado en la familia y confiable. Es el más grande de los perros de montaña suizos. Con su familia es muy cariñoso y equilibrado."
Greyhound,"Gentle, Independent, Noble",145,68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.8,Friendly,1.0,2.0,4,2,4,3.2,iconografia/razas/greyhound.jpg,"Gentil, independiente y noble. Es el perro más rápido del mundo pero en casa es un sofá andante. Con su familia es muy cariñoso aunque algo distante."
Hamiltonstovare,"Agile, Versatile, Regal",,48.26,60.96,18.1436948,34.01942775,14.0,17.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly,1.0,1.0,4,3,4,3.6000000000000005,iconografia/razas/hamiltonstovare.jpg,"Ágil, versátil y con mucha clase. Es un sabueso sueco equilibrado y activo. Con su familia es cariñoso y necesita ejercicio regular."
Hanoverian Scenthound,"Loyal, Independent, Calm",,48.26,53.34,35.83379723,44.905644630000005,10.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,1.0,1.0,3,2,2,2.6,iconografia/razas/hanoverian_scenthound.jpg,"Leal, independiente y tranquilo. Es un rastreador serio y versátil que con su familia es cariñoso y equilibrado. Necesita ejercicio regular."
Harrier,"Friendly, Outgoing, People-Oriented",189,48.26,53.34,20.41165665,27.2155422,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,1.0,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly,2.0,2.0,5,4,4,3.8,iconografia/razas/harrier.jpg,"Amigable, sociable y centrado en las personas. Es un rastreador activo y alegre que en casa es un compañero equilibrado. Necesita mucho ejercicio."
Havanese,"Intelligent, Outgoing, Funny",24,21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,Toy Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing,3.0,2.0,3,4,5,4.6,iconografia/razas/havanese.jpg,"Inteligente, sociable y divertido. Es el perro nacional de Cuba: alegre, cariñoso y siempre dispuesto a hacer reír. Adora la compañía y odia la soledad."
Hokkaido,"Dignified, Alert, Devoted",,45.72,50.8,19.95806428,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,,0.6,,2.0,3.0,4,3,3,3.2,iconografia/razas/hokkaido.jpg,"Digno, alerta y devoto. Es un spitz japonés primitivo con un instinto cazador marcado. Con su familia es muy leal aunque reservado con los desconocidos."
Hovawart,"Alert, Faithful, Intelligent",,58.42,71.12,29.48350405,40.8233133,10.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers,1.0,3.0,3,1,2,2.2,iconografia/razas/hovawart.jpg,"Alerta, fiel e inteligente. Es un guardián alemán versátil y equilibrado. Con su familia es muy cariñoso y necesita ejercicio y estimulación constante."
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite",152,57.15,69.85,20.41165665,22.6796185,11.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers,1.0,2.0,5,2,2,2.2,iconografia/razas/ibizan_hound.jpg,"Centrado en la familia, equilibrado y educado. Es un lebrel activo y elegante que en casa es un compañero tranquilo. Necesita espacio para correr."
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",155,41.91,45.72,11.33980925,13.6077711,12.0,14.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,2.0,3.0,4,5,4,4.4,iconografia/razas/icelandic_sheepdog.jpg,"Amigable, juguetón e inquisitivo. Es el único perro autóctono de Islandia. Alegre y activo, se adapta bien a la vida familiar y le encantan los niños."
Irish Red and White Setter,"Courageous, Spirited, Determined",146,57.15,66.04,15.875732950000002,27.2155422,11.0,15.0,Sporting Group,0.4,Weekly Brushing,,,1.0,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly,2.0,,5,4,4,3.8,iconografia/razas/irish_red_and_white_setter.jpg,"Valiente, lleno de energía y determinado. Es el setter más antiguo de Irlanda. Con su familia es muy cariñoso y necesita mucho ejercicio."
Irish Setter,"Active, Outgoing, Sweet-Natured",77,63.5,68.58,27.2155422,31.751465900000003,12.0,15.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,1.0,Outgoing,3.0,3.0,5,3,5,3.8,iconografia/razas/irish_setter.jpg,"Activo, sociable y de carácter dulce. Es un perro elegante y lleno de energía. Con su familia es muy afectuoso y siempre está dispuesto a jugar."
Irish Terrier,"Bold, Dashing, Tenderhearted",116,45.72,45.72,11.33980925,12.24699399,13.0,15.0,Terrier Group,0.2,Occasional Bath/Brush,,,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,1.0,,3,3,3,3.4000000000000004,iconografia/razas/irish_terrier.jpg,"Audaz, apasionado y con mucho corazón. Es un terrier valiente y leal que adora a su familia. Necesita ejercicio y no le gusta estar sin hacer nada."
Irish Water Spaniel,"Playful, Hardworking, Brave",159,53.34,60.96,20.41165665,30.84428116,12.0,13.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers,2.0,3.0,5,4,2,3.0000000000000004,iconografia/razas/irish_water_spaniel.jpg,"Juguetón, trabajador y valiente. Es el más grande de los spaniels y el más peculiar. Con su familia es muy cariñoso y le encanta el agua."
Irish Wolfhound,"Courageous, Dignified, Calm",76,76.2,81.28,47.62719885,54.4310844,6.0,8.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,2.0,3.0,3,2,3,3.0,iconografia/razas/irish_wolfhound.jpg,"Valiente, digno y tranquilo. Es el perro más alto del mundo pero tiene un carácter gentil y sereno. Con su familia es muy afectuoso."
Italian Greyhound,"Playful, Alert, Sensitive",73,33.02,38.1,3.17514659,6.35029318,14.0,15.0,Toy Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.2,Aloof/Wary,1.0,3.0,3,2,1,2.2,iconografia/razas/italian_greyhound.jpg,"Juguetón, alerta y sensible. Es el lebrel en miniatura: elegante, cariñoso y algo friolero. Se apega mucho a su dueño y no le gusta estar solo."
Jagdterrier,"Courageous, Intelligent, Hardworking",,33.02,40.64,7.71107029,9.97903214,10.0,12.0,Foundation Stock Service,,,,,0.6,,0.6,,0.6,,,,3,3,3,3.4000000000000004,iconografia/razas/jagdterrier.jpg,"Valiente, inteligente y trabajador. Es un terrier de caza serio y determinado. Con su familia es leal aunque necesita mucho ejercicio y estimulación."
Japanese Chin,"Charming, Noble, Loving",104,20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,Toy Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,3,2,2,2.6,iconografia/razas/japanese_chin.jpg,"Encantador, noble y muy cariñoso. Es un perro de compañía refinado que adora los momentos tranquilos. Con su familia es muy leal y afectuoso."
Japanese Spitz,"Loyal, Playful, Smart",,30.48,38.1,4.535923700000001,11.33980925,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,2.0,2.0,3,4,4,4.2,iconografia/razas/japenese_spitz.jpg,"Leal, juguetón e inteligente. Es un perro de compañía activo y cariñoso que adora a su familia. Aprende rápido y es muy expresivo."
Jindo,"Alert, Intelligent, Bold",,45.72,55.88,13.6077711,22.6796185,14.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/jindo.jpg,"Alerta, inteligente y audaz. Es el perro nacional de Corea: leal y devoto con su familia pero muy reservado con los desconocidos."
Kai Ken,"Loyal, Agile, Keen",,39.37,49.53,9.0718474,18.1436948,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/kai_ken.jpg,"Leal, ágil y perspicaz. Es uno de los perros primitivos japoneses más raros. Con su familia es muy devoto aunque tardará en confiar en extraños."
Karelian Bear Dog,"Loyal, Independent, Courageous",,48.26,59.69,19.95806428,22.22602613,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.6,,0.6,,1.0,3.0,2,3,3,3.2,iconografia/razas/karelian_bear_dog.JPG,"Leal, independiente y valiente. Es un perro de caza serio que ha sido criado para enfrentarse a osos. Con su familia es afectuoso aunque muy territorial."
Keeshond,"Friendly, Lively, Outgoing",95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,3.0,3.0,3,4,4,4.2,iconografia/razas/keeshond.jpg,"Amigable, lleno de vida y sociable. Es el perro del canal holandés: alegre, adaptable y siempre de buen humor. Adora a las personas y a otros animales."
Kerry Blue Terrier,"Smart, Alert, People-Oriented",129,44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive,3.0,,3,1,3,2.6,iconografia/razas/kerry_blue_terrier.jpg,"Inteligente, alerta y centrado en las personas. Es un terrier versátil y activo que con su familia es muy cariñoso. Necesita ejercicio y estimulación."
Kishu Ken,"Faithful, Noble, Docile",,43.18,55.88,13.6077711,27.2155422,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/kishu_ken.jpg,"Fiel, noble y dócil. Es un perro primitivo japonés tranquilo y leal. Con su familia es muy devoto aunque reservado con los extraños."
Komondor,"Loyal, Dignified, Brave",173,64.77,69.85,36.2873896,45.359237,10.0,12.0,Working Group,1.0,Specialty/Professional,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,5.0,3.0,3,2,2,2.6,iconografia/razas/komondor.jpg,"Leal, digno y valiente. Su pelaje en rastas es inconfundible. Es un guardián serio que con su familia es muy cariñoso. Necesita socialización temprana."
Kromfohrlander,"Intelligent, Active, Sensitive",,38.1,45.72,9.0718474,15.875732950000002,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,3.0,4.0,3,3,2,3.0,iconografia/razas/kromfohrlander.jpg,"Inteligente, activo y sensible. Es una raza alemana poco conocida pero muy equilibrada. Con su familia es muy cariñoso y adaptable."
Kuvasz,"Loyal, Fearless, Sweet",163,66.04,76.2,31.751465900000003,52.16312255,10.0,12.0,Working Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,4.0,3,2,2,2.6,iconografia/razas/kuvasz.jpg,"Leal, valiente y dulce. Es un guardián húngaro poderoso que con su familia es muy afectuoso. Necesita espacio y un dueño con experiencia."
Labrador Retriever,"Friendly, Active, Outgoing",1,54.61,62.23,24.947580350000003,36.2873896,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,1.0,Outgoing,2.0,4.0,5,5,5,4.6,iconografia/razas/labrador_retriever.jpg,"Amigable, activo y sociable. Es el perro más popular del mundo y con razón: cariñoso, equilibrado y perfecto para cualquier tipo de familia."
Lagotto Romagnolo,"Affectionate, Keen, Undemanding",99,40.64,48.26,10.88621688,15.875732950000002,15.0,17.0,Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,1.0,1.0,3,5,3,4.2,iconografia/razas/lagotto_romagnolo.jpg,"Cariñoso, apasionado y sin pretensiones. Es el buscador de trufas italiano por excelencia. Con su familia es muy afectuoso y adaptable."
Lakeland Terrier,"Friendly, Confident, Bold",147,35.56,38.1,7.71107029,7.71107029,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,2.0,1.0,3,3,3,3.4000000000000004,iconografia/razas/lakeland_terrier.jpg,"Amigable, seguro y audaz. Es un terrier compacto y activo que necesita ejercicio. Con su familia es muy cariñoso y siempre está dispuesto a la aventura."
Lancashire Heeler,"Affectionate, Versatile, Intelligent",,25.4,30.48,4.082331330000001,7.71107029,12.0,15.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly,1.0,3.0,4,4,4,4.0,iconografia/razas/lancashire_heeler.jpg,"Cariñoso, versátil e inteligente. Es un perro pequeño con mucha energía y personalidad. Con su familia es muy leal y adaptable."
Lapponian Herder,"Friendly, Energetic, Intelligent",,45.72,50.8,31.751465900000003,31.751465900000003,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers,2.0,3.0,3,5,2,3.8,iconografia/razas/lapponian_herder.jpg,"Amigable, enérgico e inteligente. Es un perro de pastoreo nórdico activo y equilibrado. Con su familia es muy cariñoso."
Leonberger,"Friendly, Gentle, Playful",93,64.77,80.01,40.8233133,77.1107029,9.0,9.0,Working Group,0.8,Daily Brushing,0.8,Regularly,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,4.0,4.0,3,5,4,4.6,iconografia/razas/leonberger.jpg,"Amigable, gentil y juguetón. Es un gigante de pelo dorado con un corazón enorme. Con su familia es muy afectuoso y paciente."
Lhasa Apso,"Confident, Smart, Comical",71,25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,3.0,1.0,3,2,2,2.6,iconografia/razas/lhasa_apso.jpg,"Seguro, inteligente y divertido. Es un guardián del palacio tibetano: observador, leal y con mucho carácter. Con su familia es muy cariñoso."
Löwchen,"Affectionate, Outgoing, Positive",168,27.94,33.02,4.535923700000001,6.80388555,15.0,15.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing,1.0,1.0,3,3,5,4.2,iconografia/razas/lowchen.jpg,"Cariñoso, sociable y positivo. El 'pequeño león' es un compañero alegre y adaptable que adora la compañía. Siempre está de buen humor."
Maltese,"Gentle, Playful, Charming",37,17.78,22.86,3.17514659,3.17514659,12.0,15.0,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing,4.0,1.0,3,3,5,4.2,iconografia/razas/maltese.jpg,"Gentil, juguetón y encantador. Es uno de los perros de compañía más antiguos del mundo. Con su familia es muy cariñoso y sensible."
Manchester Terrier (Standard),"Spirited, Bright, Keenly Observant",133,38.1,40.64,5.4431084400000005,9.97903214,15.0,17.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive,2.0,2.0,3,4,3,3.8,iconografia/razas/manchester_terrier_standard.jpg,"Lleno de energía, brillante y muy observador. Es un terrier elegante y activo que necesita estimulación. Con su familia es muy leal."
Manchester Terrier (Toy),"Agile, Spirited, Intelligent",133,25.4,30.48,5.4431084400000005,5.4431084400000005,15.0,17.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive,2.0,2.0,3,4,3,3.8,iconografia/razas/manchester_terrier_toy.jpg,"Ágil, lleno de vida e inteligente. La versión miniatura del Manchester Terrier: misma personalidad en menos tamaño. Muy activo y cariñoso."
Mastiff,"Courageous, Dignified, Good-Natured",29,69.85,76.2,54.4310844,104.3262451,6.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,1.0,2.0,3,3,3,3.4000000000000004,iconografia/razas/mastiff.jpg,"Valiente, digno y de buen carácter. Es uno de los perros más grandes del mundo pero también de los más tiernos. Con su familia es muy afectuoso."
Miniature American Shepherd,"Good-Natured, Intelligent, Devoted",34,33.02,45.72,9.0718474,18.1436948,12.0,13.0,Herding Group,0.8,Daily Brushing,1.0,Frequent,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,4.0,5.0,4,5,4,4.4,iconografia/razas/miniature_american_sheperd.jpg,"De buen carácter, inteligente y devoto. Es un pastor en miniatura lleno de energía y ganas de aprender. Con su familia es muy cariñoso."
Miniature Bull Terrier,"Upbeat, Mischievous, Comical",110,25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,1.0,2.0,4,2,3,2.8,iconografia/razas/miniature_bull_terrier.jpg,"Optimista, travieso y divertido. Es el Bull Terrier en pequeño: misma energía y carácter en un paquete más compacto. Con su familia es muy cariñoso."
Miniature Pinscher,"Fearless, Fun-Loving, Proud",70,25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,1.0,1.0,3,2,3,3.0,iconografia/razas/miniature_pinscher.jpg,"Valiente, divertido y orgulloso. El 'rey de los juguetes' tiene una personalidad enorme. Es activo, curioso y muy leal a su familia."
Miniature Schnauzer,"Friendly, Smart, Obedient",19,30.48,35.56,4.9895160700000005,9.0718474,12.0,15.0,Terrier Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,5.0,1.0,3,5,3,4.2,iconografia/razas/miniature_schnauzer.jpg,"Amigable, inteligente y obediente. Es el schnauzer más pequeño y también el más popular. Con su familia es muy cariñoso y adaptable."
Mountain Cur,"Intelligent, Strong-Willed, Reserved with Strangers",,40.64,66.04,13.6077711,27.2155422,10.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers,1.0,3.0,5,1,2,1.8000000000000005,iconografia/razas/mountain_cur.jpg,"Inteligente, de carácter fuerte y reservado con desconocidos. Es un perro de trabajo americano que con su familia es leal y protector."
Mudi,"Loyal, Intelligent, Active",,38.1,46.99,8.164662660000001,13.15417873,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers,1.0,2.0,5,5,2,3.4,iconografia/razas/mudi.jpg,"Leal, inteligente y activo. Es un pastor húngaro poco conocido pero muy versátil. Con su familia es muy cariñoso y necesita mucho ejercicio."
Neapolitan Mastiff,"Loyal, Dignified, Watchful",102,60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.2,Aloof/Wary,2.0,3.0,3,1,1,1.8,iconografia/razas/neapolitan_mastiff.jpg,"Leal, digno y vigilante. Es un guardián imponente que con su familia es muy cariñoso. Necesita socialización temprana y un dueño con experiencia."
Nederlandse Kooikerhondje,"Friendly, Alert, Quick",150,35.56,43.18,9.0718474,13.6077711,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers,2.0,3.0,3,5,2,3.8,iconografia/razas/nederlandse_kooikerhondje.jpg,"Amigable, alerta y rápido. Es un spaniel holandés activo y equilibrado. Con su familia es muy cariñoso aunque puede ser reservado con extraños."
Newfoundland,"Sweet, Patient, Devoted",40,66.04,71.12,45.359237,68.0388555,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,2.0,3.0,3,4,4,4.2,iconografia/razas/newfoundland.jpg,"Dulce, paciente y devoto. El gigante gentil de Terranova: cariñoso con todos, especialmente con los niños. Adora el agua y la familia."
Norfolk Terrier,"Fearless, Alert, Fun-Loving",126,22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,3.0,3,3,4,3.8,iconografia/razas/norfolk_terrier.jpg,"Valiente, alerta y divertido. Es uno de los terriers más pequeños pero tiene todo el carácter de su grupo. Con su familia es muy cariñoso."
Norrbottenspets,"Fearless, Agile, Attentive",,41.91,45.72,9.0718474,13.6077711,14.0,17.0,Miscellaneous Class,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,,0.6,,2.0,2.0,4,3,3,3.2,iconografia/razas/norrbottenspets.jpg,"Valiente, ágil y atento. Es un spitz escandinavo activo y equilibrado. Con su familia es muy cariñoso aunque necesita ejercicio regular."
Norwegian Buhund,"Confident, Smart, Perceptive",165,40.64,46.99,11.79340162,18.1436948,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly,2.0,3.0,4,4,4,4.0,iconografia/razas/norwegian_buhund.jpg,"Seguro, inteligente y perceptivo. Es un spitz noruego activo y equilibrado. Con su familia es muy cariñoso y aprende rápido."
Norwegian Elkhound,"Friendly, Confident, Dependable",97,49.53,52.07,21.77243376,24.947580350000003,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,3.0,3,3,4,3.8,iconografia/razas/norwegian_elkhound.jpg,"Amigable, seguro y confiable. Es el perro nacional de Noruega: leal, activo y siempre alerta. Con su familia es muy cariñoso."
Norwegian Lundehund,"Loyal, Energetic, Alert",191,30.48,38.1,9.0718474,13.6077711,12.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,2.0,3.0,4,3,2,2.8,iconografia/razas/norwegian_lundehund.jpg,"Leal, enérgico y alerta. Es el perro cazador de frailecillos: ágil, flexible y único. Con su familia es muy cariñoso aunque algo independiente."
Norwich Terrier,"Affectionate, Alert, Curious",108,25.4,25.4,5.4431084400000005,5.4431084400000005,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly,2.0,3.0,4,3,4,3.6000000000000005,iconografia/razas/norwich_terrier.jpg,"Cariñoso, alerta y curioso. Es uno de los terriers más pequeños y también de los más cariñosos. Siempre está activo y dispuesto a jugar."
Nova Scotia Duck Tolling Retriever,"Affectionate, Intelligent, Outgoing",83,43.18,53.34,15.875732950000002,22.6796185,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly,2.0,3.0,5,4,4,3.8,iconografia/razas/nova_scotia_duck_tolling_retriever.jpg,"Cariñoso, inteligente y sociable. Es el retriever más pequeño y también el más activo. Con su familia es muy afectuoso y necesita mucho ejercicio."
Old English Sheepdog,"Adaptable, Gentle, Smart",72,53.34,55.88,27.2155422,45.359237,10.0,12.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,3.0,3,2,3,3.0,iconografia/razas/old_english_sheepdog.jpg,"Adaptable, gentil e inteligente. El perro del anuncio de pintura: adorable, cariñoso y siempre de buen humor. Con su familia es muy afectuoso."
Otterhound,"Even-Tempered, Amiable, Boisterous",182,60.96,68.58,36.2873896,52.16312255,10.0,13.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive,2.0,3.0,3,1,3,2.6,iconografia/razas/otterhound.jpg,"Equilibrado, amable y bullicioso. Es un rastreador acuático único y poco común. Con su familia es muy cariñoso y disfruta del ejercicio al aire libre."
Papillon,"Friendly, Alert, Happy",54,20.32,27.94,2.2679618500000003,4.535923700000001,14.0,16.0,Toy Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing,2.0,3.0,3,5,5,5.0,iconografia/razas/papillon.jpg,"Amigable, alerta y feliz. La mariposa del mundo canino: elegante, activa y muy inteligente. Con su familia es muy cariñosa y aprende rápido."
Parson Russell Terrier,"Friendly, Clever, Athletic",117,33.02,35.56,5.8967008100000005,7.71107029,13.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly,2.0,2.0,5,3,4,3.4000000000000004,iconografia/razas/parson_russell_terrier.jpg,"Amigable, inteligente y atlético. Es el terrier de Jack Russell con estándar reconocido. Lleno de energía y carácter, necesita mucho ejercicio."
Pekingese,"Affectionate, Loyal, Regal in Manner",92,15.24,22.86,6.35029318,6.35029318,12.0,14.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.4,Calm,0.2,May be Stubborn,0.4,Reserved with Strangers,3.0,3.0,2,1,2,2.0,iconografia/razas/pekingese.jpg,"Cariñoso, leal y con mucha clase. El perro de los emperadores chinos: orgulloso, tranquilo y muy devoto con su familia íntima."
